question_id,text,option_a,option_b,option_c,option_d,correct,category,active
"q-0003","¿Cuál es el objetivo principal de la ""Escalera de Mejora Continua"" de Swiss Better Gold?","Sancionar inmediatamente a los productores que no cumplen con los 27 criterios desde el inicio.","Ofrecer un enfoque progresivo para que los productores de la Minería de Oro Artesanal y de Pequeña Escala (MAPE) mejoren sus prácticas y accedan paso a paso al mercado internacional.","Reemplazar la legislación minera de cada país con un estándar suizo único y obligatorio.","Centrarse exclusivamente en la eliminación total del mercurio, sin considerar otros aspectos sociales o de gobernanza.","","Estrategia de abastecimiento","Si"
"q-0004","¿Cuál de las siguientes opciones NO es un incentivo ofrecido a los productores de la MAPE para motivarlos a participar y avanzar en el programa Swiss Better Gold?","La entrega gratuita de toda la maquinaria pesada (excavadoras, volquetas) necesaria para la operación","Acceso a las cadenas de suministro de los miembros de la Asociación, que pueden ofrecer mejores condiciones comerciales y contratos a largo plazo","Asistencia técnica y desarrollo de capacidades proporcionados por los socios implementadores de Swiss Better Gold.","Cofinanciación para proyectos que contribuyan al desarrollo social y ambiental de las comunidades mineras","","Estrategia de abastecimiento","Si"
"q-0005","De acuerdo con la ""Estrategia de Abastecimiento"", si un productor comete una infracción grave y no implementa un plan de mejora en el plazo de seis meses, ¿cuál es la consecuencia final que la Junta Directiva de la Asociación puede aplicar?","Una multa económica equivalente al 10% de las ventas anuales del productor.","La suspensión obligatoria por un máximo de tres meses antes de ser readmitido automáticamente.","La exclusión del productor del programa Swiss Better Gold","Una denuncia formal ante la Secretaría de Estado para Asuntos Económicos de Suiza (SECO).","","Estrategia de abastecimiento","Si"
"q-0006","¿Cuál es el plazo máximo que tiene un productor minero para cumplir con todos los criterios de Swiss Better Gold?","6 meses","12 meses","24 meses","No hay un plazo definido","","Estrategia de abastecimiento","Si"
"q-0007","¿Quién es responsable de realizar la verificación obligatoria de tercera parte a un productor que ha alcanzado la Etapa 2?","La Secretaría de Estado para Asuntos Económicos de Suiza (SECO)","Los socios implementadores de Swiss Better Gold","Terceros calificados e independientes contratados por la Asociación","El propio productor minero a través de una autoevaluación.","","Estrategia de abastecimiento","Si"
"q-0008","¿Cuál es uno de los objetivos del enfoque de Swiss Better Gold?","Maximizar la producción de oro a cualquier costo","Crear cadenas de suministro directas desde los productores hasta los miembros de la Asociación","Sustituir la minería de mediana escala por la minería artesanal","Vender el oro exclusivamente en el mercado suizo.","","Estrategia de abastecimiento","Si"
"q-0009","¿Qué tipo de plan se elabora junto con el socio implementador en la Etapa 1 para asegurar que el productor se esfuerce por cumplir los criterios?","Un plan de negocios (PN).","Un plan de gestión de riesgos (PGR)","Un plan de marketing (PM)","Un plan de mejora continua (PMC).","","Estrategia de abastecimiento","Si"
"q-0010","¿Cuál es el objetivo principal de la Guía de verificación de Swiss Better Gold?","Entrenar a los productores mineros en técnicas de extracción.","Orientar sobre el sistema de monitoreo y verificación de Swiss Better Gold a entidades.","Establecer precios para el oro responsable.","Crear nuevas regulaciones mineras.","","Guía de verificación","Si"
"q-0011","¿Cuál de los siguientes es un criterio ""básico"" que debe cumplirse en la Etapa 1 para que un productor de la MAPE pueda empezar a vender su oro a los miembros de la Asociación?","Demostrar un manejo adecuado del cianuro en las plantas de lixiviación.","Pagar al menos el salario mínimo legal a todos los trabajadores","No estar vinculado de ninguna manera a las peores formas de trabajo infantil","Implementar una política completa para hacer frente al cambio climático","","Guía de verificación","Si"
"q-0012","¿Cómo se gestiona la verificación de un productor que ha sido acreditado en la Etapa 2 para reconfirmar su estatus como proveedor de Swiss Better Gold?","Es suficiente con una autodeclaración anual firmada por el representante de la cooperativa.","La supervisión es realizada directamente por inspectores del gobierno suizo.","El productor es evaluado únicamente por el socio implementador, sin necesidad de auditorías externas.","Se vuelve obligatoria una verificación por parte de un tercero independiente en un plazo de dos años a partir de la acreditación","","Guía de verificación","Si"
"q-0013","¿Cuál de estos criterios se debe cumplir en la Etapa 2 y no es un criterio ""básico"" de la Etapa 1?","No a las peores formas de trabajo infantil.","No al trabajo forzoso.","No operar en zonas de alto valor ecológico.","Ofrecer un entorno de trabajo seguro.","","Guía de verificación","Si"
"q-0014","Swiss Better Gold ha adoptado la definición de MAPE de una organización internacional. ¿Cuál es esa organización?","La Organización de las Naciones Unidas (ONU).","El Consejo Mundial del Oro.","La Organización para la Cooperación y el Desarrollo Económicos (OCDE).","La Organización Internacional del Trabajo (OIT).","","Guía de verificación","Si"
"q-0015","¿Cuál de los siguientes es un criterio ""básico"" que un productor debe cumplir en la Etapa 1?","Pagar al menos el salario mínimo legal a los trabajadores.","Demostrar un manejo adecuado del cianuro.","No apoyar directa o indirectamente a grupos armados no estatales.","Implementar una política anticorrupción que prohíbe el soborno.","","Guía de verificación","Si"
"q-0016","¿Cuál de estos NO es uno de los principios del programa de verificación de SBG?","Monitoreo continuo","Verificación independiente","Eficiencia & agilidad","Rentabilidad máxima","","Guía de verificación","Si"
"q-0017","¿Cuáles son los tres niveles posibles de determinación de desempeño que se puede asignar sobre un criterio de SBG?","Excelente, Bueno, Regular.","Alto, Medio, Bajo.","Cumple, Cumple parcialmente, No cumple.","Aprobado, En proceso, Rechazado.","","Guía de verificación","Si"
"q-0018","¿Qué significa ""CAHRA"" en el contexto de los criterios de SBG?","Código de Ética para Verificadores","Criterios Ambientales de Alto Riesgo","Zonas afectadas por conflictos o de alto riesgo","Certificación de Auditoría de Riesgos","","Guía de verificación","Si"
"q-0019","¿Cuántos pasos tiene el proceso de debida diligencia basado en riesgo según la Guía de la OCDE?","3 pasos","4 pasos","5 pasos","6 pasos","","Guía de verificación","Si"
